name,price,speed,spin,control,tackiness,weight,hardness,consistency
999 Super 999T,11,7.5,9.1,9.0,8.7,7.2,7.2,7.1
Adidas P7,50,8.8,9.5,9.1,2.1,4.4,6.5,9.5
Andro Hexer,47,8.7,9.1,8.5,2.4,5.3,6.0,9.3
Andro Hexer Duro,44,9.1,9.1,8.6,2.9,4.3,4.8,8.5
Andro Hexer HD,56,9.3,9.2,8.6,2.8,5.5,6.7,8.9
Andro Hexer Powergrip,44,9.2,9.4,9.2,1.0,5.4,6.8,9.8
Andro Rasant,57,9.2,9.4,9.0,2.1,5.1,5.5,9.5
Andro Rasant Grip,53,9.1,9.5,9.2,2.4,5.6,5.5,9.5
Andro Rasant PowerGrip,56,9.4,9.5,9.0,2.2,6.7,8.0,9.6
Andro Rasant Powersponge,53,8.7,9.3,9.4,2.3,3.9,3.0,9.3
Andro Rasant Turbo,43,9.5,9.1,8.4,1.5,5.9,7.0,9.4
Andro Rasanter R37,46,8.7,9.1,9.4,1.6,2.7,1.0,9.1
Andro Rasanter R42,38,9.0,9.4,9.3,2.1,3.8,4.2,9.2
Andro Rasanter R47,47,9.4,9.3,8.9,1.8,5.7,6.5,9.5
Andro Rasanter R48,58,8.9,9.5,8.9,2.1,5.3,6.7,7.9
Andro Rasanter R50,37,9.4,9.4,8.7,1.6,6.5,8.3,9.2
Butterfly Bryce Speed,79,9.4,8.3,8.0,1.4,5.4,6.7,8.2
Butterfly Bryce Speed FX,65,9.4,8.4,8.4,2.5,4.3,3.4,8.9
Butterfly Dignics 05,87,8.9,9.4,8.7,2.0,5.1,7.2,8.3
Butterfly Dignics 09C,87,8.6,9.4,9.0,5.1,6.8,8.2,9.7
Butterfly Flextra,20,7.0,7.5,8.7,2.6,2.8,2.4,9.1
Butterfly Rozena,38,8.7,8.5,8.8,1.8,4.5,5.1,9.0
Butterfly Spin Art,68,8.6,9.3,8.9,6.0,7.7,9.1,9.4
Butterfly Sriver,40,8.0,8.0,8.5,2.4,4.4,5.4,9.1
Butterfly Sriver EL,40,7.8,7.8,8.5,2.7,4.0,4.0,9.3
Butterfly Sriver FX,40,7.9,8.1,8.6,2.8,3.5,2.6,8.4
Butterfly Sriver G3,57,8.4,8.2,8.7,3.0,4.4,5.1,8.8
Butterfly Sriver G3 FX,59,8.6,8.4,8.6,2.7,3.7,3.3,8.0
Butterfly Tackiness Drive,35,6.9,8.5,8.9,5.6,4.3,4.9,9.8
Butterfly Tenergy 05,79,9.3,9.4,8.4,2.4,6.6,6.2,9.3
Butterfly Tenergy 05 FX,75,9.1,9.2,8.8,3.0,5.4,4.1,9.3
Butterfly Tenergy 25,78,9.2,9.1,8.8,2.5,6.8,6.7,10.0
Butterfly Tenergy 64,70,9.3,8.8,8.5,2.6,5.5,5.1,9.2
Butterfly Tenergy 64 FX,78,9.0,8.9,8.5,1.7,4.7,2.9,9.6
Butterfly Tenergy 80,68,9.3,9.4,9.0,2.2,5.5,5.4,9.2
Dawei 2008 XP (Super Power),9,8.0,8.1,8.2,4.3,6.8,6.9,7.2
Donic Acuda Blue P2,54,9.0,9.4,9.2,2.6,3.9,4.3,9.0
Donic Acuda S1,52,9.2,9.1,8.2,1.9,4.6,6.7,9.0
Donic Acuda S1 Turbo,52,9.4,9.1,8.3,3.2,6.1,6.9,8.5
Donic Acuda S2,37,8.8,9.0,8.6,2.6,4.4,4.5,9.1
Donic Acuda S3,52,8.4,9.1,8.7,1.8,3.6,1.9,9.5
Donic Baracuda,40,8.7,9.5,8.6,2.3,5.4,4.8,9.0
Donic Bluefire JP 03,54,8.7,9.1,9.4,2.0,5.2,3.4,9.3
Donic Bluefire M1,54,9.3,9.3,8.4,2.7,5.9,7.1,9.3
Donic Bluefire M2,39,8.7,9.1,8.6,2.0,5.9,5.5,9.5
Donic Bluefire M3,54,8.4,9.1,8.9,1.9,5.5,3.1,8.8
Donic Coppa X1 Turbo Platin,49,9.5,9.2,8.3,2.0,4.1,6.0,8.8
DHS G666,20,7.7,9.2,9.0,7.8,6.9,6.9,7.3
DHS G888,20,8.0,8.8,8.4,7.9,6.9,7.6,7.4
DHS Gold Arc 8,46,9.4,9.3,9.1,2.1,5.9,6.8,9.2
DHS Hurricane 2 (H2),14,8.5,9.3,8.0,8.6,7.7,8.7,7.1
DHS Hurricane 3 (H3),22,8.1,8.9,8.7,8.2,7.1,8.6,6.8
DHS Hurricane 3 (Provincial),55,8.5,9.3,8.7,8.4,6.6,7.0,8.1
DHS Hurricane 3 National (Blue Sponge),92,9.3,9.5,9.2,8.3,6.1,8.0,9.5
DHS Hurricane 8,45,8.5,9.3,9.1,8.1,7.2,7.8,8.6
DHS NEO Hurricane 2,22,8.4,9.2,8.3,8.3,7.4,8.7,8.0
DHS NEO Hurricane 3,20,8.4,9.3,8.7,8.2,6.7,7.9,7.4
DHS NEO Hurricane 3 Provincial (Orange Sponge),65,8.6,9.4,9.0,7.7,6.5,7.4,7.9
DHS NEO Skyline 2 TG2,32,8.5,9.3,8.7,8.1,6.1,7.1,8.2
DHS NEO Skyline 3 TG3,24,8.5,9.0,8.7,7.5,6.1,7.5,7.9
DHS Skyline TG3,27,8.6,9.0,8.6,8.2,6.8,8.5,7.8
DHS Tin Arc 3,32,8.6,8.9,9.0,4.2,6.2,5.8,9.0
Friendship/729 729-5,14,8.8,8.7,8.9,3.5,4.5,6.0,8.8
Friendship/729 Battle II,18,8.7,9.2,9.0,8.9,5.8,8.0,8.7
Friendship/729 Cream Transcend,11,7.9,8.2,8.5,5.0,4.7,5.5,8.0
Friendship/729 Focus 3 Snipe,15,8.6,8.3,8.9,1.5,2.1,3.0,8.4
Friendship/729 FX EL Super Soft,12,6.6,7.9,8.6,5.2,3.3,2.8,8.5
Friendship/729 GeoSpin Tacky,14,7.2,9.1,8.5,7.0,4.2,5.5,8.5
Friendship/729 Higher,14,8.1,8.9,8.5,6.6,5.6,5.9,7.5
Friendship/729 Super FX,15,7.2,8.4,8.5,6.7,5.2,6.5,8.1
Gambler Outlaw (Tuned),14,8.8,8.1,8.0,1.6,3.4,5.0,8.6
JOOLA Energy X-tra (Green Power),57,8.3,8.5,8.6,1.3,2.5,1.5,9.4
JOOLA Express One,55,9.4,8.8,8.3,2.2,3.7,6.7,8.1
JOOLA Rhyzm-P,42,9.2,9.4,9.3,2.3,4.4,5.9,9.6
KTL (LKT) Pro XP,14,7.5,8.6,9.0,4.8,2.6,2.1,8.0
KTL (LKT) Pro XT,14,7.4,8.6,8.8,6.9,2.1,2.4,7.9
KTL (LKT) Rapid Speed,14,8.4,8.5,8.5,3.3,4.4,5.7,8.9
Nittaku Fastarc C-1,44,9.0,9.2,9.2,1.9,4.5,5.2,9.3
